t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
40.0,-2.2056,2.5028,2.417,0.0004,-0.0399,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.545,819,65,0.0,36.8
40.1,-2.2056,2.5028,2.4162,0.0004,-0.04,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.545,819,63,0.0,36.8
40.2,-2.2056,2.5028,2.4154,0.0004,-0.04,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.544,819,62,0.0,36.8
40.3,-2.2056,2.5028,2.4146,0.0004,-0.04,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.544,819,62,0.0,36.8
40.4,-2.2056,2.5028,2.4138,0.0004,-0.0401,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.543,819,62,0.0,36.8
40.5,-2.2057,2.5028,2.4098,0.0004,-0.0402,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.542,819,61,0.0,36.8
40.6,-2.2057,2.5028,2.4058,0.0004,-0.0404,0.0,-0.1282,0.0,0.0,0.0,2,PolygonSlow,0.542,819,61,0.0,36.8
40.7,-2.2058,2.5028,2.4017,0.0004,-0.0405,0.0,-0.1282,0.0,0.0,0.0,2,PolygonSlow,0.541,819,60,0.0,36.8
40.8,-2.2058,2.5028,2.3977,0.0003,-0.0407,0.0,-0.1282,0.0,0.0,0.0,2,PolygonSlow,0.541,819,58,0.0,36.8
40.9,-2.2059,2.5028,2.3833,0.0,0.0,0.0,-0.1282,0.0,0.0,0.0,0,,0.541,819,57,0.0,36.8
41.0,-2.2059,2.5028,2.3833,0.0,0.0,0.0,-0.1282,0.0,0.0,0.0,0,,0.541,819,57,0.0,36.8
41.1,-2.2059,2.5028,2.3833,0.0,0.0,0.0,-0.1282,0.0,0.0,0.0,2,PolygonSlow,0.541,819,57,0.0,36.8
