t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
127.552,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
127.618,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
127.65,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
127.676,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
127.704,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
127.75,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
127.754,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
127.812,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
127.842,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
127.85,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
127.896,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
127.938,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
127.966,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
127.992,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.04,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
128.054,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.094,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.134,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
128.154,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.188,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.238,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
128.252,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.294,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.334,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
128.35,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.388,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.432,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
128.45,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.49,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.52,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
128.534,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
128.624,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
128.668,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.722,0.0,1.0,0.0,0.16,0.0,0.16,0.0,0.16,,
128.722,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.782,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.816,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
128.836,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.872,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.914,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
128.928,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
128.968,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
